id,Label,Type,Role,Affiliated Actor(s),Description,Location,Latitude,Longitude,Connection Evidence
A029,INISEK (Initiative Sekundarstufe I),Government,Education,,"It is aimed at high schools, comprehensive schools and special schools with the special Educational focus ""Learning"".","Innungsstraße 40, 13509 Berlin",5.257.863.920.644.570,1.330.878.025.153.060,https://www.youtube.com/watch?v=do9YxpgdvY4
A030,Jugend und Sport des Landes Brandenburg,Government,Governance,,"Have run a Jugend und Sport des Landes Brandenburg collaboration with Schule am Plessower See, and Schule des Lebens","Heinrich-Mann-Allee 107/c/o, 14473 Potsdam",5.238.966.753.043.000,13.069.097.383.959.700,https://www.youtube.com/watch?v=do9YxpgdvY4
A031,Schule am Plessower See,School,Education,,,"Kemnitzer Ch 75, 14542 Werder (Havel)",523.932.881.149.397,12.899.678.442.139.500,https://www.youtube.com/watch?v=do9YxpgdvY4
A032,Schule des Lebens,School,Education,,,,52.309.613.078.622.000,12.736.493.025.332.400,https://www.youtube.com/watch?v=do9YxpgdvY4
A033,Independent Living Stiftung,Organization/Institution,Civil Society,,"Kinder- und Jugendhilfeeinrichtungen in Potsdam:

We offer a variety of innovative, high-quality and reliable education and care services. With a regional reference, we support cities and municipalities flexibly and transparently in solving municipal tasks.

In our basic attitude, we assume that every person determines his own life. In the institutions and projects of the INDEPENDENT LIVING Foundation, people are involved in all decisions that affect their affairs.",,523.402.806.600.692,14.544.196.467.995.700,https://www.youtube.com/watch?v=do9YxpgdvY4
A034,WWOOF: Worldwide Opportunities on Organic Farms,Organization/Institution,Network or Intermediary,,,,,,https://www.youtube.com/watch?v=do9YxpgdvY4
A035,Montelino im Volkspark (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,Kinder und Jugendcircus ,,524.172.394.615.538,13.049.108.745.189.000,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A036,Maulbeerallee (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,5.240.444.665.610.000,13.025.088.790.916.300,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A037,Nansenstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,523.956.784.344.838,13.035.707.576.683.600,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A038,Lottenhof (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,52.394.739.967.651.900,13.027.953.864.741.700,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A039,Einsteinstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,5.238.409.911.652.990,1.306.698.703.925.070,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A040,Projekthaus Babelsberg (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,"Housing project and focus on education, intercultural meetings, ecological mobility and sustainability ",,52.400.761.905.720.100,13.122.005.276.017.400,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A041,Uferwerk eG (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,Housing Society in Werder ,,5.239.579.660.693.270,12.927.273.843.578.600,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A042,Werder/Kesselgrundstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,5.239.226.491.556.420,12.917.910.532.027.200,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A043,BikeBash,Organization/Institution,Civil Society,,Biking group that has several posts where they tag BAUERei,"Grenzstraße 6, 14482 Potsdam-Babelsberg",52.397.960.023.570.700,13.094.398.399.189.500,https://www.instagram.com/p/CwvW8ugMs4G/?img_index=1
A044,Gut Berlin ,Organization/Institution,Food Producer,SoLaWi BAUERei Potsdam-Grube,,,,,https://www.instagram.com/p/DAs4_15MdsY/
A045,European Commission,Government,Governance,,,,,,
A046,BIOHOF WERDER,Organization/Institution,Food Producer,BioRegion Havelland,Organic farm producing fruit/vegetables for regional distribution,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A047,BioInsel Rathenow & Albertinenhof Havelland,Organization/Institution,Food Producer,BioRegion Havelland,Organic farming enterprises in Havelland production network,,,,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A048,Der Obstbäumerich mit Obstmuckelei,Organization/Institution,Food Producer,BioRegion Havelland,Fruit production/processing partner,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A049,Freie Waldorfschule Werder/Havel,School,Education,BioRegion Havelland; BAUERei Grube,Alternative pedagogy school involved in food education and regional learning,"Elsastraße 14-16, 14542 Werder (Havel)",523.966.562.537.619,12.924.631.548.486.500,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A050,GÖHLSDORFER HOF,Organization/Institution,Food Producer,BioRegion Havelland,Organic farm partner in regional supply system,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A051,GUTER KONSUM – Bio Dorfladen,Organization/Institution,Supporting Organisation,BioRegion Havelland,Organic retail/distribution partner,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A052,Mostmanufaktur Havelland,Organization/Institution,Supporting Organisation,BioRegion Havelland,Fruit processing (juices/cider etc.),,,,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A053,OBSTBAU BITTNER,Organization/Institution,Food Producer,BioRegion Havelland,Fruit farm production partner,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A054,Restaurant Theo im Fontane-Klub,Organization/Institution,Supporting Organisation,BioRegion Havelland,Gastronomy partner serving regional food,,,,https://www.bioregion-havelland.de/
A055,Sanddorn Christine Berger GmbH & Co.KG,Organization/Institution,Food Producer,BioRegion Havelland,Large-scale sea buckthorn producer/processor,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A056,HAVELKNOLLE,SoLaWi,Food Producer,BioRegion Havelland,CSA vegetable production system,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A057,LandWertSchaffen – mit Hand und Huf,SoLaWi,Food Producer,BioRegion Havelland,Regenerative agriculture / CSA-style farming,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A058,Luch Gärtnerei,SoLaWi,Food Producer,BioRegion Havelland,Market garden vegetable production,,,,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A059,VON HAND Blumen und Gemüse,Organization/Institution,Food Producer,BioRegion Havelland,Small-scale organic flower/vegetable farm,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A060,WaldRaum Café,Organization/Institution,Supporting Organisation,BioRegion Havelland,Cultural venue participating in regional food events,,,,https://www.bioregion-havelland.de/
A061,Weingut Swillus,Organization/Institution,Food Producer,BioRegion Havelland,Wine producer in regional food economy,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A062,European Union,Government,Governance,BioRegion Havelland,EU rural development funding source,,,,https://www.bioregion-havelland.de/
A063,Agrathaer GmbH,Organization/Institution,Supporting Organisation,BioRegion Havelland,Research and innovation consultancy for sustainable agriculture and rural development,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A064,GLS Bank,Organization/Institution,Supporting Organisation,,"Ethical bank financing social enterprises, organic farms, and cooperatives",,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A065,Netzwerk Junge Landwirtschaft,Organization/Institution,Civil Society,,Network supporting young ecological farmers in Germany,,,,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A066,BioBoden Genossenschaft eG,Organization/Institution,Supporting Organisation,Ökonauten eG,Land acquisition cooperative supporting ecological farming and land access in Germany,,,,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf
A067,Kulturland eG,Organization/Institution,Supporting Organisation,Ökonauten eG,Cooperative focused on collective farmland ownership for agroecological transition,,,,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf
A068,Regionalwert AG Berlin-Brandenburg,Organization/Institution,Supporting Organisation,Ökonauten eG,Regional investment cooperative supporting sustainable agriculture and food systems,,,,https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/
A069,FÖL Berlin-Brandenburg,Organization/Institution,Network or Intermediary,Ökonauten eG,Organic farming promotion network in Berlin-Brandenburg region,,,,https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/
A070,BNE-Servicestelle Brandenburg,Government,Education,Netzwerk “Hier kommt dein Essen her”,Service centre for Education for Sustainable Development (ESD/BNE) in Brandenburg,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A071,Vernetzungsstelle Schulverpflegung Brandenburg,Government,Governance,Netzwerk “Hier kommt dein Essen her”,Public body coordinating school food systems in Brandenburg,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A072,Evangelische Schule Berlin-Friedrichshain,School,Education,Netzwerk “Hier kommt dein Essen her”,School participating in food education and sustainable food system initiatives,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A073,Sarah Wiener Stiftung,Organization/Institution,Education,Netzwerk “Hier kommt dein Essen her”,Foundation focused on nutrition education and children’s food literacy,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A074,1 Hektar Zukunft,Organization/Institution,Education,Netzwerk “Hier kommt dein Essen her”,Initiative for sustainable agriculture education and farm-based learning,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A075,GemüseBeatz,Organization/Institution,Food Producer,Netzwerk “Hier kommt dein Essen her”,Agroecological food culture initiative combining farming and education,,,,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/
A076,"Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",Government,Governance,LEADER program,Managing authority for LEADER funding applications in Brandenburg,,,,https://lelf.brandenburg.de/lelf/de/service/foerderung/leader/
A077,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",Government,Governance,LEADER program,Responsible ministry setting LEADER policy and funding framework in Brandenburg,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A078,LEADER-Region Havelland (LAG Havelland),Organization/Institution,Governance,LEADER program,Regional LEADER implementation area covering Havelland,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A079,LEADER-Region Fläming-Havel,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A080,LEADER-Region Märkische Seen,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A081,LEADER-Region Uckermark,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A082,LEADER-Region Spree-Neiße,Organization/Institution,Governance,LEADER program,Defined LEADER regional governance area in Brandenburg,,,,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/
A083,Bio Hofgut Kleimeier,SoLaWi,Food Producer,,,,,,BioRegion Havelland Kooperationspartner page
A084,Montessori-Oberschule Potsdam,School,Education,Jugendschule am Schlänitzsee; SoLaWi BAUERei Potsdam-Grube,Public Montessori secondary school in Potsdam that integrates the Jugendschule am Schlänitzsee into its Years 7–8 educational programme based on Maria Montessori’s Erdkinderplan.,"Schlüterstraße 2–4, 14471 Potsdam, Germany",,,https://www.potsdam-montessori.de/geschichte-jugendschule
A085,Landkreis Potsdam-Mittelmark,Government,Governance,,,,,,
A086,SoLaWi Members (Luch Gärtnerei),Organization/Institution,Civil Society,Luch Gärtnerei,Members of the Luch Gärtnerei solidarity agriculture scheme who collectively finance the farm and receive weekly harvest shares.,,,,https://www.luchgaertnerei.de/solawi
